DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
01-Oct-2025,EQ,"1,597.10","1,619.50","1,577.60","1,610.80","1,603.00","1,605.30","1,598.32","1,684.40","1,168.00",2199531,"3,51,55,45,066.70",106225
30-Sep-2025,EQ,"1,576.30","1,624.00","1,576.30","1,591.70","1,610.80","1,610.80","1,599.40","1,684.40","1,168.00",2707464,"4,33,03,23,334.00",77130
29-Sep-2025,EQ,"1,574.00","1,597.90","1,566.70","1,569.90","1,594.70","1,591.70","1,581.48","1,684.40","1,168.00",1415978,"2,23,93,45,900.10",54446
26-Sep-2025,EQ,"1,595.00","1,595.00","1,562.00","1,592.80","1,572.30","1,569.90","1,578.80","1,684.40","1,168.00",1273246,"2,01,02,02,015.30",48875
25-Sep-2025,EQ,"1,627.00","1,634.20","1,586.70","1,630.20","1,591.00","1,592.80","1,607.20","1,684.40","1,168.00",1350066,"2,16,98,25,027.10",37084
24-Sep-2025,EQ,"1,611.00","1,640.00","1,611.00","1,623.80","1,627.50","1,630.20","1,630.96","1,684.40","1,168.00",1640747,"2,67,59,93,374.10",35549
23-Sep-2025,EQ,"1,629.90","1,643.70","1,610.10","1,630.00","1,623.70","1,623.80","1,624.47","1,684.40","1,168.00",1724892,"2,80,20,28,267.40",62211
22-Sep-2025,EQ,"1,586.50","1,644.20","1,586.50","1,590.90","1,628.00","1,630.00","1,630.66","1,684.40","1,168.00",2983892,"4,86,57,06,397.10",106976
19-Sep-2025,EQ,"1,568.50","1,601.30","1,563.30","1,586.60","1,595.40","1,590.90","1,580.27","1,684.40","1,168.00",2436924,"3,85,10,05,118.60",96454
18-Sep-2025,EQ,"1,575.00","1,592.90","1,568.10","1,573.40","1,581.00","1,586.60","1,582.77","1,684.40","1,168.00",1022359,"1,61,81,59,087.90",51522
17-Sep-2025,EQ,"1,575.30","1,589.90","1,569.20","1,583.10","1,577.00","1,573.40","1,579.41","1,684.40","1,168.00",1113217,"1,75,82,28,977.30",59601
16-Sep-2025,EQ,"1,520.70","1,588.20","1,515.60","1,517.70","1,586.00","1,583.10","1,567.97","1,684.40","1,168.00",3343241,"5,24,20,86,548.70",97449
15-Sep-2025,EQ,"1,510.70","1,522.00","1,505.10","1,512.30","1,519.50","1,517.70","1,512.80","1,684.40","1,168.00",844483,"1,27,75,32,396.50",24357
12-Sep-2025,EQ,"1,505.00","1,520.00","1,491.20","1,495.70","1,511.00","1,512.30","1,510.96","1,684.40","1,168.00",466301,"70,45,61,025.50",28677
11-Sep-2025,EQ,"1,522.00","1,530.20","1,490.50","1,522.40","1,494.00","1,495.70","1,512.57","1,684.40","1,168.00",1286327,"1,94,56,63,689.20",71280
10-Sep-2025,EQ,"1,507.10","1,528.40","1,507.00","1,507.10","1,528.40","1,522.40","1,519.01","1,684.40","1,168.00",847153,"1,28,68,33,572.50",41439
09-Sep-2025,EQ,"1,499.90","1,524.70","1,495.60","1,494.00","1,506.00","1,507.10","1,509.38","1,684.40","1,168.00",854933,"1,29,04,15,012.50",41434
08-Sep-2025,EQ,"1,498.80","1,514.00","1,481.70","1,490.90","1,491.10","1,494.00","1,499.10","1,684.40","1,168.00",869279,"1,30,31,40,025.10",46845
05-Sep-2025,EQ,"1,471.90","1,495.70","1,457.00","1,461.20","1,491.00","1,490.90","1,477.53","1,684.40","1,168.00",1103269,"1,63,01,15,844.30",47982
04-Sep-2025,EQ,"1,475.00","1,486.70","1,447.50","1,439.80","1,463.00","1,461.20","1,464.39","1,684.40","1,168.00",1738436,"2,54,57,55,510.60",75256
03-Sep-2025,EQ,"1,432.90","1,445.00","1,424.20","1,431.40","1,444.00","1,439.80","1,433.63","1,684.40","1,168.00",989265,"1,41,82,35,253.60",64445
02-Sep-2025,EQ,"1,454.90","1,458.50","1,428.70","1,453.80","1,433.00","1,431.40","1,442.30","1,684.40","1,168.00",1087452,"1,56,84,28,957.40",64317
01-Sep-2025,EQ,"1,419.40","1,455.40","1,412.30","1,420.70","1,450.30","1,453.80","1,441.54","1,684.40","1,168.00",909205,"1,31,06,55,276.60",49673
29-Aug-2025,EQ,"1,439.00","1,452.30","1,418.00","1,439.80","1,423.70","1,420.70","1,432.49","1,684.40","1,168.00",871127,"1,24,78,80,499.70",59419
28-Aug-2025,EQ,"1,464.20","1,468.50","1,435.90","1,476.20","1,442.00","1,439.80","1,447.29","1,684.40","1,168.00",1548977,"2,24,18,21,232.60",67549
26-Aug-2025,EQ,"1,510.60","1,518.30","1,470.10","1,509.40","1,477.70","1,476.20","1,477.70","1,684.40","1,168.00",2035044,"3,00,71,89,925.50",56417
25-Aug-2025,EQ,"1,524.90","1,530.00","1,504.20","1,524.10","1,510.60","1,509.40","1,515.50","1,684.40","1,168.00",701737,"1,06,34,85,297.10",31089
22-Aug-2025,EQ,"1,515.00","1,527.00","1,511.30","1,518.30","1,522.30","1,524.10","1,522.36","1,684.40","1,168.00",559123,"85,11,85,577.30",40577
21-Aug-2025,EQ,"1,525.90","1,527.70","1,513.70","1,522.90","1,518.00","1,518.30","1,518.76","1,684.40","1,168.00",728673,"1,10,66,78,736.20",43589
20-Aug-2025,EQ,"1,527.80","1,536.30","1,508.50","1,527.90","1,524.50","1,522.90","1,525.45","1,684.40","1,168.00",1272429,"1,94,10,21,164.60",44962
19-Aug-2025,EQ,"1,522.60","1,529.90","1,503.00","1,522.60","1,525.20","1,527.90","1,520.27","1,684.40","1,168.00",953552,"1,44,96,60,398.90",41115
18-Aug-2025,EQ,"1,500.00","1,533.40","1,495.80","1,461.50","1,520.00","1,522.60","1,520.70","1,684.40","1,168.00",1354862,"2,06,03,37,419.90",57940
14-Aug-2025,EQ,"1,459.10","1,474.80","1,449.20","1,460.50","1,459.00","1,461.50","1,460.82","1,684.40","1,168.00",1612053,"2,35,49,12,946.40",38280
13-Aug-2025,EQ,"1,457.00","1,474.70","1,454.60","1,450.70","1,459.10","1,460.50","1,466.25","1,684.40","1,168.00",672021,"98,53,47,716.90",28534
12-Aug-2025,EQ,"1,485.00","1,485.00","1,445.50","1,483.00","1,449.00","1,450.70","1,460.39","1,684.40","1,168.00",755391,"1,10,31,69,057.20",46940
11-Aug-2025,EQ,"1,452.00","1,493.60","1,448.00","1,451.10","1,481.00","1,483.00","1,478.80","1,684.40","1,168.00",842409,"1,24,57,51,359.00",53215
08-Aug-2025,EQ,"1,493.90","1,499.80","1,450.00","1,488.00","1,451.00","1,451.10","1,465.80","1,684.40","1,168.00",840293,"1,23,17,00,222.30",50047
07-Aug-2025,EQ,"1,440.00","1,491.00","1,440.00","1,454.90","1,488.00","1,488.00","1,474.36","1,684.40","1,168.00",1097782,"1,61,85,20,806.30",37034
06-Aug-2025,EQ,"1,472.00","1,480.70","1,438.90","1,472.10","1,454.90","1,454.90","1,451.50","1,684.40","1,168.00",2136451,"3,10,10,63,321.60",80412
05-Aug-2025,EQ,"1,475.40","1,481.60","1,456.50","1,472.10","1,470.80","1,472.10","1,469.91","1,684.40","1,168.00",1537683,"2,26,02,48,521.30",62780
04-Aug-2025,EQ,"1,422.80","1,477.00","1,422.80","1,422.50","1,471.00","1,472.10","1,454.99","1,684.40","1,168.00",1765076,"2,56,81,59,162.70",81664
01-Aug-2025,EQ,"1,442.50","1,481.90","1,404.00","1,443.20","1,420.50","1,422.50","1,435.18","1,684.40","1,168.00",4717925,"6,77,10,89,061.50",154291
